sensor_id,macroarea_id,edge_cluster,edge_id,lat,lon,x_km,y_km,rows,rows_per_day,distance_to_edge_km
45253,none,10,edge-10,50.52,30.486,5752.111395216961,3247.5782533780316,45939,1481.9032258064517,153.59729126469315
45255,none,7,edge-7,52.078,21.014,5072.781998199091,3275.664402374242,16569,534.483870967742,142.534698272094
45263,none,1,edge-1,53.34788,-1.747276,3542.562060992105,3423.2224253659083,9778,315.4193548387097,152.76883824172754
45275,none,9,edge-9,43.78,25.948,5596.924338260201,2433.2565643156345,16123,520.0967741935484,202.0913820904475
4528,none,2,edge-2,51.52,6.818,4100.217808318883,3161.405840778362,4033,130.09677419354838,70.22310307707254
45303,none,1,edge-1,57.16387153,-2.27852583,3581.5172403224897,3848.2244348748427,16245,524.0322580645161,578.3382614903527
45309,none,3,edge-3,48.68692685,8.95617753,4244.119730807396,2842.052209616328,13567,437.64516129032256,61.652324869491814
45323,none,3,edge-3,50.2,8.674,4226.323893309676,3010.610333621144,7966,256.96774193548384,170.05124597304214
45327,none,10,edge-10,49.67799999999999,24.56,5364.100871625882,3055.6037796801356,13718,442.51612903225805,320.8998406045544
45369,none,11,edge-11,55.25,37.668,6031.113428407656,3906.368274964988,15722,507.16129032258067,122.45035918898867
45371,none,11,edge-11,55.59101045,37.54126489,6009.146471728133,3938.8233147349047,16483,531.7096774193549,83.8207070807312
45385,none,3,edge-3,49.50522736,8.59677762,4219.354049472961,2933.458127026217,19686,635.0322580645161,112.26033477405697
45391,none,1,edge-1,53.349933,-1.689638,3546.379966517603,3422.8302796234498,14562,469.741935483871,153.33644308301123
45399,none,2,edge-2,52.095706820000004,5.13787597,3988.0766694847985,3231.7624548901276,16210,522.9032258064516,69.1935689202334
45401,none,2,edge-2,51.87345397,4.58384961,3948.3785534447184,3209.7669787688205,12969,418.35483870967744,89.39287993401878
45403,none,2,edge-2,51.976,5.326,4000.0817961350717,3217.6229956753778,13200,425.80645161290323,50.64785904189387
45517,none,3,edge-3,49.44539385,7.75797822,4158.411468850241,2928.313556623527,16217,523.1290322580645,160.6851261675197
45521,none,2,edge-2,50.928,4.534,3937.1092884692093,3105.0837531838292,16341,527.1290322580645,119.9440791701681
45523,none,2,edge-2,51.68,5.394,4002.66355384477,3184.447033929488,16206,522.7741935483871,30.031710416523403
45541,none,3,edge-3,49.68,8.608,4220.529400816887,2952.874836157169,16045,517.5806451612904,125.19481293993313
45591,none,5,edge-5,54.506207,9.636201,4297.427320825833,3488.9486924683615,16615,535.9677419354839,302.3819539216367
45595,none,5,edge-5,50.99531911,10.69189936,4369.574720932194,3098.451536047619,11015,355.3225806451613,164.08505515468252
45601,none,11,edge-11,55.7036623,37.66824574,6011.620696118105,3953.5487776132686,16381,528.4193548387096,71.57735625449652
45621,none,5,edge-5,51.522,10.702,4369.722884456555,3157.0505173292877,15607,503.4516129032258,119.86054056265867
45675,none,10,edge-10,50.466,30.405999999999995,5748.336044825681,3240.196168987027,6840,220.6451612903226,145.30692507178748
4570,none,2,edge-2,51.442,6.996,4112.203750188599,3152.210679479511,16213,523.0,84.29011468901982
4576,none,2,edge-2,51.874,8.43,4212.88289919754,3197.144320478904,16232,523.6129032258065,181.78531994703553
45763,none,5,edge-5,52.408,13.356,4549.2917885873385,3260.662370070461,9996,322.4516129032258,91.98251384041666
45777,none,9,edge-9,43.22916384,27.827510829999998,5757.789638948223,2407.4830840599757,4222,136.19354838709677,318.14174459983866
45793,none,9,edge-9,42.74,22.908,5375.335296177305,2272.2830584500907,40259,1298.6774193548388,91.84774367785117
45813,none,4,edge-4,45.408,10.962,4396.423337951581,2477.7889194880954,13423,433.0,87.35401560307268
4586,none,3,edge-3,50.118,8.952000000000002,4246.04241723496,3001.1696943635748,16126,520.1935483870968,153.27747131524225
45866,none,3,edge-3,49.59206735,10.95745805,4390.23462831768,2942.595669847906,9134,294.64516129032256,120.52447540543466
45872,none,1,edge-1,55.844,-3.2099999999999995,3498.3685576914786,3713.6130447751816,13238,427.03225806451616,438.9146742880329
45880,none,5,edge-5,51.077851,13.739914000000002,4582.965770573846,3114.1044860917546,16103,519.4516129032259,171.4537947678492
4590,none,3,edge-3,48.448,9.216,4262.979350144889,2815.2574243862987,16292,525.5483870967741,59.56986401650401
45917,none,2,edge-2,51.5093,7.43429166,4142.914503980514,3158.5326200227128,16395,528.8709677419355,112.60208333613531
45941,none,4,edge-4,46.008,8.978,4241.747460260548,2544.4414072798986,4002,129.09677419354838,150.00184744582285
45971,none,3,edge-3,48.98199999999999,8.393999999999998,4203.420415942833,2875.5934242261314,8341,269.06451612903226,101.33322063973475
45975,none,3,edge-3,49.6278311,8.3513705,4201.8816596267,2947.457892586059,14591,470.6774193548387,134.62681861115934
4598,none,3,edge-3,48.64600000000001,8.906,4240.358279680651,2837.556630821779,12184,393.03225806451616,66.58717649999544
45981,none,2,edge-2,53.13679651,8.18471467,4199.518394439929,3338.0157665507163,20108,648.6451612903226,231.3650938074459
45999,none,2,edge-2,51.56875433,8.09768289,4189.118360110598,3163.736566272474,16577,534.741935483871,157.7262531365563
46001,none,3,edge-3,48.272,11.18,4408.629930663311,2796.0872222944545,11353,366.2258064516129,122.62370056010737
46007,none,3,edge-3,50.188,8.524,4215.588940108338,3009.48045670769,10882,351.03225806451616,174.20101861291312
46015,none,1,edge-1,51.898,-0.874,3575.7064255268733,3254.3876043935034,16580,534.8387096774194,72.15662811362294
46033,none,3,edge-3,48.88644,9.00029,4247.663115723471,2864.1851393795314,16200,522.5806451612904,55.96520166026748
46045,none,5,edge-5,54.094,13.428,4545.2360089662125,3448.329583102592,6335,204.3548387096774,229.64685477052552
46075,none,2,edge-2,51.24398765,6.859195149999999,4101.757425252363,3130.5980984427033,9846,317.61290322580646,84.48082130855433
46081,none,1,edge-1,51.9070045,-0.6562845000000002,3590.6500798990405,3253.173626965606,16583,534.9354838709677,86.88827100072702
46095,none,1,edge-1,50.746,-2.716,3428.6730609207098,3148.3012769744405,16729,539.6451612903226,148.49447655617126
46105,none,10,edge-10,50.44024699,29.9481833,5718.016006637196,3228.5460623487584,15252,492.0,122.62961282749018
46111,none,11,edge-11,55.992,37.252,5975.392385971836,3973.773329200706,7704,248.51612903225808,42.61885846498404
46115,none,3,edge-3,49.144497,9.19472878,4262.233786626485,2892.69944744978,16172,521.6774193548387,53.17729567425394
46129,none,4,edge-4,45.186,5.79,3989.788097495612,2462.0140366173023,14443,465.9032258064516,341.4296237270899
46157,none,11,edge-11,55.60948516,37.53497213,6007.991641367473,3940.5963680166283,6838,220.58064516129033,81.74269709552136
46199,none,5,edge-5,52.104,10.03,4323.055567347229,3221.572317600054,16490,531.9354838709677,138.6234147088844
46223,none,2,edge-2,51.41,7.564,4151.545862002964,3147.1815901742466,16480,531.6129032258065,123.47496568900735
46291,none,9,edge-9,44.444,26.006,5586.671170123195,2506.594955141644,15410,497.0967741935484,257.6060368708854
46327,none,2,edge-2,51.24411006,6.54174954,4079.6171269793717,3131.612239198669,12649,408.03225806451616,66.67542247104853
46338,none,3,edge-3,48.82851,9.235728,4264.868142654725,2857.5384920188253,16606,535.6774193548387,38.550384636723216
46347,none,8,edge-8,47.83,19.046,4996.733601773478,2787.680111958039,6799,219.32258064516128,75.31432289679718
46379,none,9,edge-9,42.254,22.744,5370.564806653776,2216.7499018040235,16539,533.516129032258,114.48166124111695
46382,none,1,edge-1,52.974,-2.514,3485.109244190717,3390.6575974986426,15885,512.4193548387096,117.83987045865366
46392,none,3,edge-3,49.44799999999999,7.904,4169.00549434841,2928.2909006287473,16215,523.0645161290323,151.1852974507536
